T,2015-05-24 04:50:50,56.649084000,23.726680000,10.0,89,"05/24/2015 Jelgava, Jelgavas pilsēta, Latvia",
T,2015-05-24 04:50:52,56.649077000,23.726649000,10.0,89,,
T,2015-05-24 04:50:54,56.649080000,23.726638000,10.0,89,,
T,2015-05-24 04:51:02,56.649002000,23.726605000,9.0,89,,
T,2015-05-24 04:51:06,56.648945000,23.726540000,9.0,89,,
T,2015-05-24 04:51:10,56.648892000,23.726495000,9.0,100,,
T,2015-05-24 04:51:13,56.648829000,23.726537000,9.0,114,,
T,2015-05-24 04:51:15,56.648780000,23.726592000,9.0,124,,
T,2015-05-24 04:51:17,56.648757000,23.726685000,9.0,126,,
T,2015-05-24 04:51:19,56.648733000,23.726776000,9.0,127,,
T,2015-05-24 04:51:21,56.648680000,23.726836000,9.0,127,,
T,2015-05-24 04:51:23,56.648605000,23.726878000,9.0,130,,
T,2015-05-24 04:51:25,56.648494000,23.726930000,9.0,131,,
T,2015-05-24 04:51:26,56.648438000,23.726957000,9.0,133,,
T,2015-05-24 04:51:27,56.648376000,23.726982000,9.0,133,,
T,2015-05-24 04:51:28,56.648311000,23.727012000,9.0,135,,
T,2015-05-24 04:51:29,56.648242000,23.727042000,9.2,136,,
T,2015-05-24 04:51:30,56.648172000,23.727073000,10.0,136,,
T,2015-05-24 04:51:32,56.648043000,23.727134000,10.0,135,,
T,2015-05-24 04:51:33,56.647984000,23.727165000,10.0,135,,
T,2015-05-24 04:51:34,56.647923000,23.727194000,10.0,136,,
T,2015-05-24 04:51:35,56.647859000,23.727223000,10.0,137,,
T,2015-05-24 04:51:36,56.647790000,23.727255000,10.0,138,,
T,2015-05-24 04:51:37,56.647722000,23.727283000,10.0,141,,
T,2015-05-24 04:51:38,56.647651000,23.727313000,10.0,143,,
T,2015-05-24 04:51:39,56.647581000,23.727343000,10.2,143,,
T,2015-05-24 04:51:40,56.647506000,23.727373000,11.0,144,,
T,2015-05-24 04:51:41,56.647434000,23.727401000,11.0,146,,
T,2015-05-24 04:51:42,56.647370000,23.727434000,11.0,146,,
T,2015-05-24 04:51:43,56.647308000,23.727459000,11.0,145,,
T,2015-05-24 04:51:44,56.647251000,23.727482000,11.0,145,,
T,2015-05-24 04:51:46,56.647146000,23.727537000,11.0,146,,
T,2015-05-24 04:51:48,56.647061000,23.727568000,11.0,147,,
T,2015-05-24 04:51:52,56.646988000,23.727543000,9.0,145,,
T,2015-05-24 04:51:54,56.646973000,23.727465000,9.0,143,,
T,2015-05-24 04:51:56,56.646961000,23.727322000,9.0,145,,
T,2015-05-24 04:51:58,56.646934000,23.727160000,9.0,146,,
T,2015-05-24 04:51:59,56.646914000,23.727078000,9.0,148,,
T,2015-05-24 04:52:00,56.646899000,23.726994000,9.0,147,,
T,2015-05-24 04:52:01,56.646888000,23.726909000,9.0,146,,
T,2015-05-24 04:52:02,56.646878000,23.726833000,9.0,146,,
T,2015-05-24 04:52:03,56.646871000,23.726771000,9.0,145,,
T,2015-05-24 04:52:05,56.646862000,23.726663000,9.0,145,,
T,2015-05-24 04:52:07,56.646853000,23.726565000,9.0,145,,
T,2015-05-24 04:52:09,56.646846000,23.726485000,9.0,144,,
T,2015-05-24 04:52:11,56.646842000,23.726422000,9.0,142,,
T,2015-05-24 04:52:13,56.646832000,23.726344000,9.0,141,,
T,2015-05-24 04:52:15,56.646814000,23.726227000,9.0,140,,
T,2015-05-24 04:52:16,56.646804000,23.726153000,9.0,140,,
